id,text,sentiment
702,"Worst flight I have ever taken, never again",negative
703,"Great service today, very happy with the results",positive
704,This is the worst decision I have ever made,negative
705,The event was attended by over 500 people,neutral
706,"Waited two hours and still no help, unacceptable",negative
707,"This is the best day ever, feeling fantastic!",positive
708,"Great service today, very happy with the results",positive
709,The restaurant opens at noon on weekdays,neutral
710,"Just had the most wonderful meal, highly recommend",positive
711,"Extremely disappointed, not what was advertised at all",negative
712,"Extremely disappointed, not what was advertised at all",negative
713,The meeting is scheduled for 3pm,neutral
714,"This is the best day ever, feeling fantastic!",positive
715,"Beautiful weather today, perfect for a walk",positive
716,The package arrived this afternoon,neutral
717,"I love this product, absolutely amazing experience!",positive
718,"This update ruined everything, reverting immediately",negative
719,Best coffee I have ever had this morning,positive
720,The restaurant opens at noon on weekdays,neutral
721,Just checked the weather forecast for tomorrow,neutral
722,"Beautiful weather today, perfect for a walk",positive
723,The event was attended by over 500 people,neutral
724,The meeting is scheduled for 3pm,neutral
725,"Thrilled with my new purchase, exceeded expectations",positive
726,Downloaded the latest version of the software,neutral
727,Best coffee I have ever had this morning,positive
728,The report will be ready by end of day,neutral
729,"Extremely disappointed, not what was advertised at all",negative
730,"This update ruined everything, reverting immediately",negative
731,My flight departs at 6am tomorrow morning,neutral
732,The meeting is scheduled for 3pm,neutral
733,Loving the new features in this app,positive
734,"Such a letdown, expected so much more",negative
735,Disgusted by the lack of response from support,negative
736,"Terrible experience with customer service, very disappointed",negative
737,The team is working on the new feature,neutral
738,Watched a documentary about space last night,neutral
739,Currently reading about machine learning,neutral
740,Just checked the weather forecast for tomorrow,neutral
741,"Great service today, very happy with the results",positive
742,Best coffee I have ever had this morning,positive
743,The event was attended by over 500 people,neutral
744,Cannot believe how bad this service has gotten,negative
745,"Just finished an incredible book, highly recommend",positive
746,"This is the best day ever, feeling fantastic!",positive
747,The meeting is scheduled for 3pm,neutral
748,Disgusted by the lack of response from support,negative
749,So grateful for all the support from my friends,positive
750,"This update ruined everything, reverting immediately",negative
751,I am going to the store later today,neutral
752,Currently reading about machine learning,neutral
753,The team is working on the new feature,neutral
754,I am going to the store later today,neutral
755,Feeling motivated and ready to take on the world,positive
756,"Terrible experience with customer service, very disappointed",negative
757,I am going to the store later today,neutral
758,Downloaded the latest version of the software,neutral
759,"This update ruined everything, reverting immediately",negative
760,"The new update is fantastic, so much better now",positive
761,The restaurant opens at noon on weekdays,neutral
762,"Such a letdown, expected so much more",negative
763,"Worst flight I have ever taken, never again",negative
764,"So angry about the hidden fees, total scam",negative
765,"This is the best day ever, feeling fantastic!",positive
766,The report will be ready by end of day,neutral
767,"Beautiful weather today, perfect for a walk",positive
768,"The app crashes constantly, completely unusable",negative
769,Very frustrated with the constant delays,negative
770,"This is the best day ever, feeling fantastic!",positive
771,"The app crashes constantly, completely unusable",negative
772,Very frustrated with the constant delays,negative
773,Disgusted by the lack of response from support,negative
774,This is the worst decision I have ever made,negative
775,"Excellent customer support, resolved my issue immediately",positive
776,The restaurant opens at noon on weekdays,neutral
777,The event was attended by over 500 people,neutral
778,"Just finished an incredible book, highly recommend",positive
779,Feeling motivated and ready to take on the world,positive
780,The event was attended by over 500 people,neutral
781,"Thrilled with my new purchase, exceeded expectations",positive
782,The meeting is scheduled for 3pm,neutral
783,"Terrible experience with customer service, very disappointed",negative
784,This product is a complete waste of money,negative
785,Loving the new features in this app,positive
786,The report will be ready by end of day,neutral
787,"This update ruined everything, reverting immediately",negative
788,Feeling motivated and ready to take on the world,positive
789,"So angry about the hidden fees, total scam",negative
790,I am going to the store later today,neutral
791,The package arrived this afternoon,neutral
792,Best coffee I have ever had this morning,positive
793,"I love this product, absolutely amazing experience!",positive
794,Loving the new features in this app,positive
795,Just checked the weather forecast for tomorrow,neutral
796,"The app crashes constantly, completely unusable",negative
797,Feeling motivated and ready to take on the world,positive
798,Happy to announce I got the job! Super excited,positive
799,Just checked the weather forecast for tomorrow,neutral
800,"I love this product, absolutely amazing experience!",positive
801,Disgusted by the lack of response from support,negative
802,"Just finished an incredible book, highly recommend",positive
803,The conference starts next Monday in Paris,neutral
804,Outstanding performance today by the whole team,positive
805,The new model was released yesterday,neutral
806,"Such a letdown, expected so much more",negative
807,Happy to announce I got the job! Super excited,positive
808,Disgusted by the lack of response from support,negative
809,"Great service today, very happy with the results",positive
810,"So angry about the hidden fees, total scam",negative
811,"Never buying from this brand again, awful experience",negative
812,The conference starts next Monday in Paris,neutral
813,Updated my profile information on the platform,neutral
814,"The new update is fantastic, so much better now",positive
815,"The new update is fantastic, so much better now",positive
816,Just checked the weather forecast for tomorrow,neutral
817,The package arrived this afternoon,neutral
818,Downloaded the latest version of the software,neutral
819,So grateful for all the support from my friends,positive
820,This product is a complete waste of money,negative
821,This product is a complete waste of money,negative
822,Loving the new features in this app,positive
823,Outstanding performance today by the whole team,positive
824,"Horrible quality, broke after just two days",negative
825,"Such a letdown, expected so much more",negative
826,"Extremely disappointed, not what was advertised at all",negative
827,The report will be ready by end of day,neutral
828,I am going to the store later today,neutral
829,My flight departs at 6am tomorrow morning,neutral
830,Outstanding performance today by the whole team,positive
831,"The app crashes constantly, completely unusable",negative
832,Best coffee I have ever had this morning,positive
833,"Never buying from this brand again, awful experience",negative
834,My flight departs at 6am tomorrow morning,neutral
835,This is the worst decision I have ever made,negative
836,Loving the new features in this app,positive
837,"Never buying from this brand again, awful experience",negative
838,Feeling motivated and ready to take on the world,positive
839,Outstanding performance today by the whole team,positive
840,Very frustrated with the constant delays,negative
841,The restaurant opens at noon on weekdays,neutral
842,"Waited two hours and still no help, unacceptable",negative
843,"The app crashes constantly, completely unusable",negative
844,My flight departs at 6am tomorrow morning,neutral
845,Outstanding performance today by the whole team,positive
846,"So angry about the hidden fees, total scam",negative
847,Updated my profile information on the platform,neutral
848,Just checked the weather forecast for tomorrow,neutral
849,"Beautiful weather today, perfect for a walk",positive
850,The conference starts next Monday in Paris,neutral
851,Cannot believe how bad this service has gotten,negative
852,"Such a letdown, expected so much more",negative
853,"Beautiful weather today, perfect for a walk",positive
854,My flight departs at 6am tomorrow morning,neutral
855,The team is working on the new feature,neutral
856,So grateful for all the support from my friends,positive
857,The new model was released yesterday,neutral
858,The team is working on the new feature,neutral
859,Best coffee I have ever had this morning,positive
860,"Worst flight I have ever taken, never again",negative
861,"Worst flight I have ever taken, never again",negative
862,"The app crashes constantly, completely unusable",negative
863,Best coffee I have ever had this morning,positive
864,The package arrived this afternoon,neutral
865,So grateful for all the support from my friends,positive
866,"Horrible quality, broke after just two days",negative
867,The new model was released yesterday,neutral
868,"Waited two hours and still no help, unacceptable",negative
869,"Great service today, very happy with the results",positive
870,The package arrived this afternoon,neutral
871,Currently reading about machine learning,neutral
872,Very frustrated with the constant delays,negative
873,Disgusted by the lack of response from support,negative
874,"Terrible experience with customer service, very disappointed",negative
875,"Such a letdown, expected so much more",negative
876,Feeling motivated and ready to take on the world,positive
877,"So angry about the hidden fees, total scam",negative
878,"Thrilled with my new purchase, exceeded expectations",positive
879,"Worst flight I have ever taken, never again",negative
880,Outstanding performance today by the whole team,positive
881,"This update ruined everything, reverting immediately",negative
882,"Beautiful weather today, perfect for a walk",positive
883,I am going to the store later today,neutral
884,The report will be ready by end of day,neutral
885,"Just finished an incredible book, highly recommend",positive
886,Watched a documentary about space last night,neutral
887,"This is the best day ever, feeling fantastic!",positive
888,Feeling motivated and ready to take on the world,positive
889,Disgusted by the lack of response from support,negative
890,"Horrible quality, broke after just two days",negative
891,The report will be ready by end of day,neutral
892,My flight departs at 6am tomorrow morning,neutral
893,Just checked the weather forecast for tomorrow,neutral
894,Happy to announce I got the job! Super excited,positive
895,"The app crashes constantly, completely unusable",negative
896,"I love this product, absolutely amazing experience!",positive
897,Just checked the weather forecast for tomorrow,neutral
898,Best coffee I have ever had this morning,positive
899,"Beautiful weather today, perfect for a walk",positive
900,"Terrible experience with customer service, very disappointed",negative
901,Currently reading about machine learning,neutral
902,"I love this product, absolutely amazing experience!",positive
903,"Never buying from this brand again, awful experience",negative
904,This product is a complete waste of money,negative
905,"The new update is fantastic, so much better now",positive
906,The package arrived this afternoon,neutral
907,Downloaded the latest version of the software,neutral
908,"Excellent customer support, resolved my issue immediately",positive
909,"Horrible quality, broke after just two days",negative
910,"Just had the most wonderful meal, highly recommend",positive
911,The new model was released yesterday,neutral
912,Loving the new features in this app,positive
913,This product is a complete waste of money,negative
914,The conference starts next Monday in Paris,neutral
915,"Just had the most wonderful meal, highly recommend",positive
916,"I love this product, absolutely amazing experience!",positive
917,"Beautiful weather today, perfect for a walk",positive
918,This is the worst decision I have ever made,negative
919,The meeting is scheduled for 3pm,neutral
920,"This is the best day ever, feeling fantastic!",positive
921,Happy to announce I got the job! Super excited,positive
922,My flight departs at 6am tomorrow morning,neutral
923,The restaurant opens at noon on weekdays,neutral
924,The conference starts next Monday in Paris,neutral
925,Loving the new features in this app,positive
926,This is the worst decision I have ever made,negative
927,"Just had the most wonderful meal, highly recommend",positive
928,"Never buying from this brand again, awful experience",negative
929,Best coffee I have ever had this morning,positive
930,This product is a complete waste of money,negative
931,The conference starts next Monday in Paris,neutral
932,I am going to the store later today,neutral
933,"Never buying from this brand again, awful experience",negative
934,"Horrible quality, broke after just two days",negative
935,Currently reading about machine learning,neutral
936,Updated my profile information on the platform,neutral
937,"Just had the most wonderful meal, highly recommend",positive
938,The restaurant opens at noon on weekdays,neutral
939,"Never buying from this brand again, awful experience",negative
940,So grateful for all the support from my friends,positive
941,"Worst flight I have ever taken, never again",negative
942,Watched a documentary about space last night,neutral
943,"Just finished an incredible book, highly recommend",positive
944,"Great service today, very happy with the results",positive
945,Outstanding performance today by the whole team,positive
946,The restaurant opens at noon on weekdays,neutral
947,"This update ruined everything, reverting immediately",negative
948,Watched a documentary about space last night,neutral
949,Happy to announce I got the job! Super excited,positive
950,"Extremely disappointed, not what was advertised at all",negative
951,The team is working on the new feature,neutral
952,Best coffee I have ever had this morning,positive
953,"The app crashes constantly, completely unusable",negative
954,"Waited two hours and still no help, unacceptable",negative
955,So grateful for all the support from my friends,positive
956,This product is a complete waste of money,negative
957,My flight departs at 6am tomorrow morning,neutral
958,Downloaded the latest version of the software,neutral
959,This is the worst decision I have ever made,negative
960,Loving the new features in this app,positive
961,"Just finished an incredible book, highly recommend",positive
962,Happy to announce I got the job! Super excited,positive
963,"This is the best day ever, feeling fantastic!",positive
964,"Great service today, very happy with the results",positive
965,Updated my profile information on the platform,neutral
966,Watched a documentary about space last night,neutral
967,"The app crashes constantly, completely unusable",negative
968,"The app crashes constantly, completely unusable",negative
969,The report will be ready by end of day,neutral
970,"Worst flight I have ever taken, never again",negative
971,"The new update is fantastic, so much better now",positive
972,"Such a letdown, expected so much more",negative
973,Outstanding performance today by the whole team,positive
974,My flight departs at 6am tomorrow morning,neutral
975,Outstanding performance today by the whole team,positive
976,The team is working on the new feature,neutral
977,Disgusted by the lack of response from support,negative
978,"Extremely disappointed, not what was advertised at all",negative
979,The meeting is scheduled for 3pm,neutral
980,Updated my profile information on the platform,neutral
981,Disgusted by the lack of response from support,negative
982,Happy to announce I got the job! Super excited,positive
983,"Beautiful weather today, perfect for a walk",positive
984,Cannot believe how bad this service has gotten,negative
985,"I love this product, absolutely amazing experience!",positive
986,Outstanding performance today by the whole team,positive
987,"Worst flight I have ever taken, never again",negative
988,Outstanding performance today by the whole team,positive
989,"This is the best day ever, feeling fantastic!",positive
990,So grateful for all the support from my friends,positive
991,"This update ruined everything, reverting immediately",negative
992,The new model was released yesterday,neutral
993,The team is working on the new feature,neutral
994,The event was attended by over 500 people,neutral
995,The team is working on the new feature,neutral
996,"Great service today, very happy with the results",positive
997,Downloaded the latest version of the software,neutral
998,Watched a documentary about space last night,neutral
999,"Great service today, very happy with the results",positive
1000,"Beautiful weather today, perfect for a walk",positive
1001,Downloaded the latest version of the software,neutral
1002,The conference starts next Monday in Paris,neutral
1003,This product is a complete waste of money,negative
1004,I am going to the store later today,neutral
1005,The event was attended by over 500 people,neutral
1006,Cannot believe how bad this service has gotten,negative
1007,Loving the new features in this app,positive
1008,The report will be ready by end of day,neutral
1009,"So angry about the hidden fees, total scam",negative
1010,So grateful for all the support from my friends,positive
1011,Watched a documentary about space last night,neutral
1012,Updated my profile information on the platform,neutral
1013,The meeting is scheduled for 3pm,neutral
1014,Very frustrated with the constant delays,negative
1015,Loving the new features in this app,positive
1016,The package arrived this afternoon,neutral
1017,Currently reading about machine learning,neutral
1018,Disgusted by the lack of response from support,negative
1019,The team is working on the new feature,neutral
1020,"Beautiful weather today, perfect for a walk",positive
1021,The new model was released yesterday,neutral
1022,"Just finished an incredible book, highly recommend",positive
1023,"Horrible quality, broke after just two days",negative
1024,Disgusted by the lack of response from support,negative
1025,The report will be ready by end of day,neutral
1026,"I love this product, absolutely amazing experience!",positive
1027,Updated my profile information on the platform,neutral
1028,The report will be ready by end of day,neutral
1029,"Excellent customer support, resolved my issue immediately",positive
1030,"The app crashes constantly, completely unusable",negative
1031,"Excellent customer support, resolved my issue immediately",positive
1032,Happy to announce I got the job! Super excited,positive
1033,"Beautiful weather today, perfect for a walk",positive
1034,Watched a documentary about space last night,neutral
1035,Outstanding performance today by the whole team,positive
1036,"I love this product, absolutely amazing experience!",positive
1037,Feeling motivated and ready to take on the world,positive
1038,Disgusted by the lack of response from support,negative
1039,Outstanding performance today by the whole team,positive
1040,Watched a documentary about space last night,neutral
1041,Just checked the weather forecast for tomorrow,neutral
1042,"Horrible quality, broke after just two days",negative
1043,The report will be ready by end of day,neutral
1044,"This update ruined everything, reverting immediately",negative
1045,Currently reading about machine learning,neutral
1046,Updated my profile information on the platform,neutral
1047,Updated my profile information on the platform,neutral
1048,"This update ruined everything, reverting immediately",negative
1049,Downloaded the latest version of the software,neutral
1050,Happy to announce I got the job! Super excited,positive
1051,Very frustrated with the constant delays,negative
1052,"I love this product, absolutely amazing experience!",positive
1053,The team is working on the new feature,neutral
1054,"Waited two hours and still no help, unacceptable",negative
1055,The package arrived this afternoon,neutral
1056,Loving the new features in this app,positive
1057,Just checked the weather forecast for tomorrow,neutral
1058,Currently reading about machine learning,neutral
1059,"I love this product, absolutely amazing experience!",positive
1060,Very frustrated with the constant delays,negative
1061,The new model was released yesterday,neutral
1062,"The app crashes constantly, completely unusable",negative
1063,Updated my profile information on the platform,neutral
1064,Feeling motivated and ready to take on the world,positive
1065,"Horrible quality, broke after just two days",negative
1066,"Thrilled with my new purchase, exceeded expectations",positive
1067,"Worst flight I have ever taken, never again",negative
1068,"Beautiful weather today, perfect for a walk",positive
1069,The new model was released yesterday,neutral
1070,The new model was released yesterday,neutral
1071,I am going to the store later today,neutral
1072,Currently reading about machine learning,neutral
1073,"Just had the most wonderful meal, highly recommend",positive
1074,"The new update is fantastic, so much better now",positive
1075,Loving the new features in this app,positive
1076,"Thrilled with my new purchase, exceeded expectations",positive
1077,"The app crashes constantly, completely unusable",negative
1078,The event was attended by over 500 people,neutral
1079,Watched a documentary about space last night,neutral
1080,"Waited two hours and still no help, unacceptable",negative
1081,"Such a letdown, expected so much more",negative
1082,"Thrilled with my new purchase, exceeded expectations",positive
1083,I am going to the store later today,neutral
1084,The report will be ready by end of day,neutral
1085,Feeling motivated and ready to take on the world,positive
1086,"Worst flight I have ever taken, never again",negative
1087,Disgusted by the lack of response from support,negative
1088,"Never buying from this brand again, awful experience",negative
1089,Outstanding performance today by the whole team,positive
1090,Just checked the weather forecast for tomorrow,neutral
1091,Best coffee I have ever had this morning,positive
1092,"This is the best day ever, feeling fantastic!",positive
1093,The report will be ready by end of day,neutral
1094,Very frustrated with the constant delays,negative
1095,"So angry about the hidden fees, total scam",negative
1096,This product is a complete waste of money,negative
1097,Best coffee I have ever had this morning,positive
1098,My flight departs at 6am tomorrow morning,neutral
1099,This product is a complete waste of money,negative
1100,"Never buying from this brand again, awful experience",negative
1101,Updated my profile information on the platform,neutral
1102,This is the worst decision I have ever made,negative
1103,This is the worst decision I have ever made,negative
1104,"I love this product, absolutely amazing experience!",positive
1105,"So angry about the hidden fees, total scam",negative
1106,I am going to the store later today,neutral
1107,"Excellent customer support, resolved my issue immediately",positive
1108,"Thrilled with my new purchase, exceeded expectations",positive
1109,"Worst flight I have ever taken, never again",negative
1110,Happy to announce I got the job! Super excited,positive
1111,Just checked the weather forecast for tomorrow,neutral
1112,Feeling motivated and ready to take on the world,positive
1113,"I love this product, absolutely amazing experience!",positive
1114,"Just had the most wonderful meal, highly recommend",positive
1115,"The app crashes constantly, completely unusable",negative
1116,"The app crashes constantly, completely unusable",negative
1117,"This is the best day ever, feeling fantastic!",positive
1118,Watched a documentary about space last night,neutral
1119,The restaurant opens at noon on weekdays,neutral
1120,My flight departs at 6am tomorrow morning,neutral
1121,"Never buying from this brand again, awful experience",negative
1122,Disgusted by the lack of response from support,negative
1123,Outstanding performance today by the whole team,positive
1124,Best coffee I have ever had this morning,positive
1125,"I love this product, absolutely amazing experience!",positive
1126,Watched a documentary about space last night,neutral
1127,Very frustrated with the constant delays,negative
1128,My flight departs at 6am tomorrow morning,neutral
1129,The team is working on the new feature,neutral
1130,"Just had the most wonderful meal, highly recommend",positive
1131,The meeting is scheduled for 3pm,neutral
1132,This is the worst decision I have ever made,negative
1133,Watched a documentary about space last night,neutral
1134,The event was attended by over 500 people,neutral
1135,"The new update is fantastic, so much better now",positive
1136,"Excellent customer support, resolved my issue immediately",positive
1137,"This is the best day ever, feeling fantastic!",positive
1138,"This is the best day ever, feeling fantastic!",positive
1139,The conference starts next Monday in Paris,neutral
1140,"Great service today, very happy with the results",positive
1141,Watched a documentary about space last night,neutral
1142,"The new update is fantastic, so much better now",positive
1143,"Extremely disappointed, not what was advertised at all",negative
1144,"I love this product, absolutely amazing experience!",positive
1145,"Worst flight I have ever taken, never again",negative
1146,So grateful for all the support from my friends,positive
1147,The new model was released yesterday,neutral
1148,Very frustrated with the constant delays,negative
1149,Currently reading about machine learning,neutral
1150,The event was attended by over 500 people,neutral
1151,I am going to the store later today,neutral
1152,The event was attended by over 500 people,neutral
1153,The meeting is scheduled for 3pm,neutral
1154,"Just finished an incredible book, highly recommend",positive
1155,Just checked the weather forecast for tomorrow,neutral
1156,Best coffee I have ever had this morning,positive
1157,The new model was released yesterday,neutral
1158,"Thrilled with my new purchase, exceeded expectations",positive
1159,The package arrived this afternoon,neutral
1160,So grateful for all the support from my friends,positive
1161,Watched a documentary about space last night,neutral
1162,The restaurant opens at noon on weekdays,neutral
1163,"This update ruined everything, reverting immediately",negative
1164,"So angry about the hidden fees, total scam",negative
1165,"Horrible quality, broke after just two days",negative
1166,"Such a letdown, expected so much more",negative
1167,"The app crashes constantly, completely unusable",negative
1168,Updated my profile information on the platform,neutral
1169,"Waited two hours and still no help, unacceptable",negative
1170,The event was attended by over 500 people,neutral
1171,"Such a letdown, expected so much more",negative
1172,"Excellent customer support, resolved my issue immediately",positive
1173,The restaurant opens at noon on weekdays,neutral
1174,"Thrilled with my new purchase, exceeded expectations",positive
1175,"Beautiful weather today, perfect for a walk",positive
1176,Cannot believe how bad this service has gotten,negative
1177,The meeting is scheduled for 3pm,neutral
1178,Updated my profile information on the platform,neutral
1179,"The new update is fantastic, so much better now",positive
1180,"This update ruined everything, reverting immediately",negative
1181,Feeling motivated and ready to take on the world,positive
1182,Best coffee I have ever had this morning,positive
1183,Updated my profile information on the platform,neutral
1184,The report will be ready by end of day,neutral
1185,So grateful for all the support from my friends,positive
1186,"This is the best day ever, feeling fantastic!",positive
1187,The meeting is scheduled for 3pm,neutral
1188,Currently reading about machine learning,neutral
1189,Happy to announce I got the job! Super excited,positive
1190,"Beautiful weather today, perfect for a walk",positive
1191,Very frustrated with the constant delays,negative
1192,"Great service today, very happy with the results",positive
1193,Watched a documentary about space last night,neutral
1194,"Terrible experience with customer service, very disappointed",negative
1195,Disgusted by the lack of response from support,negative
1196,"Beautiful weather today, perfect for a walk",positive
1197,The meeting is scheduled for 3pm,neutral
1198,The restaurant opens at noon on weekdays,neutral
1199,The team is working on the new feature,neutral
1200,I am going to the store later today,neutral
1201,Watched a documentary about space last night,neutral
1202,Best coffee I have ever had this morning,positive
1203,Cannot believe how bad this service has gotten,negative
1204,"The new update is fantastic, so much better now",positive
1205,"Such a letdown, expected so much more",negative
1206,Cannot believe how bad this service has gotten,negative
1207,Watched a documentary about space last night,neutral
1208,"This is the best day ever, feeling fantastic!",positive
1209,Watched a documentary about space last night,neutral
1210,This product is a complete waste of money,negative
1211,"Extremely disappointed, not what was advertised at all",negative
1212,I am going to the store later today,neutral
1213,Downloaded the latest version of the software,neutral
1214,The team is working on the new feature,neutral
1215,"This update ruined everything, reverting immediately",negative
1216,"The app crashes constantly, completely unusable",negative
1217,Loving the new features in this app,positive
1218,The team is working on the new feature,neutral
1219,"Just had the most wonderful meal, highly recommend",positive
1220,I am going to the store later today,neutral
1221,The report will be ready by end of day,neutral
1222,This is the worst decision I have ever made,negative
1223,"Extremely disappointed, not what was advertised at all",negative
1224,I am going to the store later today,neutral
1225,"Excellent customer support, resolved my issue immediately",positive
1226,Loving the new features in this app,positive
1227,Disgusted by the lack of response from support,negative
1228,Very frustrated with the constant delays,negative
1229,Downloaded the latest version of the software,neutral
1230,"Worst flight I have ever taken, never again",negative
1231,The event was attended by over 500 people,neutral
1232,"Extremely disappointed, not what was advertised at all",negative
1233,"Thrilled with my new purchase, exceeded expectations",positive
1234,My flight departs at 6am tomorrow morning,neutral
1235,My flight departs at 6am tomorrow morning,neutral
1236,"Thrilled with my new purchase, exceeded expectations",positive
1237,"This update ruined everything, reverting immediately",negative
1238,"Just finished an incredible book, highly recommend",positive
1239,"The new update is fantastic, so much better now",positive
1240,"Just had the most wonderful meal, highly recommend",positive
1241,Happy to announce I got the job! Super excited,positive
1242,"So angry about the hidden fees, total scam",negative
1243,"The new update is fantastic, so much better now",positive
1244,"Just had the most wonderful meal, highly recommend",positive
1245,Very frustrated with the constant delays,negative
1246,"Extremely disappointed, not what was advertised at all",negative
1247,The conference starts next Monday in Paris,neutral
1248,Watched a documentary about space last night,neutral
1249,"The app crashes constantly, completely unusable",negative
1250,The restaurant opens at noon on weekdays,neutral
1251,"Excellent customer support, resolved my issue immediately",positive
1252,Outstanding performance today by the whole team,positive
1253,"Horrible quality, broke after just two days",negative
1254,This product is a complete waste of money,negative
1255,Downloaded the latest version of the software,neutral
1256,"Waited two hours and still no help, unacceptable",negative
1257,This product is a complete waste of money,negative
1258,This product is a complete waste of money,negative
1259,"I love this product, absolutely amazing experience!",positive
1260,"This is the best day ever, feeling fantastic!",positive
1261,Loving the new features in this app,positive
1262,Updated my profile information on the platform,neutral
1263,"Worst flight I have ever taken, never again",negative
1264,"Terrible experience with customer service, very disappointed",negative
1265,So grateful for all the support from my friends,positive
1266,"So angry about the hidden fees, total scam",negative
1267,Cannot believe how bad this service has gotten,negative
1268,"Worst flight I have ever taken, never again",negative
1269,"The new update is fantastic, so much better now",positive
1270,"Great service today, very happy with the results",positive
1271,"Such a letdown, expected so much more",negative
1272,"Just finished an incredible book, highly recommend",positive
1273,Happy to announce I got the job! Super excited,positive
1274,The new model was released yesterday,neutral
1275,"Just finished an incredible book, highly recommend",positive
1276,This product is a complete waste of money,negative
1277,"Great service today, very happy with the results",positive
1278,The report will be ready by end of day,neutral
1279,Feeling motivated and ready to take on the world,positive
1280,The team is working on the new feature,neutral
1281,"Great service today, very happy with the results",positive
1282,Best coffee I have ever had this morning,positive
1283,"This is the best day ever, feeling fantastic!",positive
1284,The package arrived this afternoon,neutral
1285,Very frustrated with the constant delays,negative
1286,The meeting is scheduled for 3pm,neutral
1287,The package arrived this afternoon,neutral
1288,Very frustrated with the constant delays,negative
1289,The restaurant opens at noon on weekdays,neutral
1290,"Horrible quality, broke after just two days",negative
1291,"The app crashes constantly, completely unusable",negative
1292,The report will be ready by end of day,neutral
1293,Outstanding performance today by the whole team,positive
1294,This product is a complete waste of money,negative
1295,The team is working on the new feature,neutral
1296,Just checked the weather forecast for tomorrow,neutral
1297,Loving the new features in this app,positive
1298,The report will be ready by end of day,neutral
1299,The meeting is scheduled for 3pm,neutral
1300,The event was attended by over 500 people,neutral
1301,The new model was released yesterday,neutral
1302,The event was attended by over 500 people,neutral
1303,The report will be ready by end of day,neutral
1304,"Never buying from this brand again, awful experience",negative
1305,I am going to the store later today,neutral
1306,Currently reading about machine learning,neutral
1307,Watched a documentary about space last night,neutral
1308,"This is the best day ever, feeling fantastic!",positive
1309,Loving the new features in this app,positive
1310,Currently reading about machine learning,neutral
1311,The new model was released yesterday,neutral
1312,So grateful for all the support from my friends,positive
1313,"Extremely disappointed, not what was advertised at all",negative
1314,This is the worst decision I have ever made,negative
1315,Updated my profile information on the platform,neutral
1316,Very frustrated with the constant delays,negative
1317,Outstanding performance today by the whole team,positive
1318,Downloaded the latest version of the software,neutral
1319,"Extremely disappointed, not what was advertised at all",negative
1320,Disgusted by the lack of response from support,negative
1321,"Waited two hours and still no help, unacceptable",negative
1322,Loving the new features in this app,positive
1323,"Waited two hours and still no help, unacceptable",negative
1324,"Beautiful weather today, perfect for a walk",positive
1325,"Excellent customer support, resolved my issue immediately",positive
1326,Best coffee I have ever had this morning,positive
1327,"Waited two hours and still no help, unacceptable",negative
1328,"This is the best day ever, feeling fantastic!",positive
1329,Outstanding performance today by the whole team,positive
1330,The meeting is scheduled for 3pm,neutral
1331,"Never buying from this brand again, awful experience",negative
1332,Just checked the weather forecast for tomorrow,neutral
1333,"Just finished an incredible book, highly recommend",positive
1334,"So angry about the hidden fees, total scam",negative
1335,"The new update is fantastic, so much better now",positive
1336,"Waited two hours and still no help, unacceptable",negative
1337,Happy to announce I got the job! Super excited,positive
1338,The restaurant opens at noon on weekdays,neutral
1339,I am going to the store later today,neutral
1340,I am going to the store later today,neutral
1341,"Excellent customer support, resolved my issue immediately",positive
1342,Just checked the weather forecast for tomorrow,neutral
1343,Cannot believe how bad this service has gotten,negative
1344,Very frustrated with the constant delays,negative
1345,My flight departs at 6am tomorrow morning,neutral
1346,Currently reading about machine learning,neutral
1347,The new model was released yesterday,neutral
1348,"Horrible quality, broke after just two days",negative
1349,Disgusted by the lack of response from support,negative
1350,Disgusted by the lack of response from support,negative
1351,"Beautiful weather today, perfect for a walk",positive
1352,Outstanding performance today by the whole team,positive
1353,"Terrible experience with customer service, very disappointed",negative
1354,"Terrible experience with customer service, very disappointed",negative
1355,Cannot believe how bad this service has gotten,negative
1356,"This is the best day ever, feeling fantastic!",positive
1357,Downloaded the latest version of the software,neutral
1358,"So angry about the hidden fees, total scam",negative
1359,I am going to the store later today,neutral
1360,"Just finished an incredible book, highly recommend",positive
1361,The report will be ready by end of day,neutral
1362,I am going to the store later today,neutral
1363,Cannot believe how bad this service has gotten,negative
1364,"Never buying from this brand again, awful experience",negative
1365,The event was attended by over 500 people,neutral
1366,Disgusted by the lack of response from support,negative
1367,"Horrible quality, broke after just two days",negative
1368,The meeting is scheduled for 3pm,neutral
1369,Watched a documentary about space last night,neutral
1370,"This is the best day ever, feeling fantastic!",positive
1371,"Thrilled with my new purchase, exceeded expectations",positive
1372,"Just had the most wonderful meal, highly recommend",positive
1373,Disgusted by the lack of response from support,negative
1374,"Such a letdown, expected so much more",negative
1375,"Just had the most wonderful meal, highly recommend",positive
1376,The restaurant opens at noon on weekdays,neutral
1377,The meeting is scheduled for 3pm,neutral
1378,Currently reading about machine learning,neutral
1379,"Just finished an incredible book, highly recommend",positive
1380,Feeling motivated and ready to take on the world,positive
1381,The conference starts next Monday in Paris,neutral
1382,This product is a complete waste of money,negative
1383,Just checked the weather forecast for tomorrow,neutral
1384,Happy to announce I got the job! Super excited,positive
1385,Disgusted by the lack of response from support,negative
1386,So grateful for all the support from my friends,positive
